appartement;studio;maison;chambre;nb_photo;prix;nb_pieces;nb_chambres;surface;distance_station_0;distance_station_1;distance_station_2;Cathédrale Notre-Dame de Paris;Basilique du Sacré-Cœur de Montmartre;Musée du Louvre;Tour Eiffel;Centre Pompidou;Musée d’Orsay;Cité des sciences et de l’industrie;Chapelle Notre-Dame de la Médaille miraculeuse;Grand site du Jardin des plantes;Arc de triomphe;Grand Palais;distance_université_plus_près;arrondissement
1;0;0;0;14;560000;3;2;62;216.010239130686;571.235516075035;608.63285972239;4825.80670310645;2664.73298170558;4544.08821684479;7212.63642145611;3990.61049650245;5223.1580050516;803.319103012369;6135.59192126794;5416.76978647686;6442.35779554378;5646.82691588973;5324.67025599643;1
0;0;0;1;8;105000;1;0;8;85.3397221886048;444.677958376094;495.822716741817;3568.5326160176;6435.99558457421;4761.9890687822;7603.11467583216;3841.21196366059;5448.61403479948;6230.66903651224;5381.28121593991;3143.03021531972;8200.23653135365;6695.35265372383;1462.87483225261;1
1;0;0;0;10;540000;3;2;54;122.809079964268;243.364987273868;556.569454654437;5157.29063687226;7206.67933164153;4869.74234617573;2755.42363080837;5708.51205202029;4145.19783661208;10153.1406161514;3299.46651191256;5101.63292970122;4459.03005767036;4055.12497133032;3178.42962522472;1
0;1;0;0;0;245000;1;0;15;241.287256797818;279.479003880854;404.614432187357;1249.13496632386;2562.06597670196;637.513888560217;3800.86891120534;615.315927657321;1466.85528821025;4710.1945991353;2209.06808350427;2003.39227080537;3870.37332143507;2464.59775805071;1451.55063600444;0
1;0;0;0;10;870000;3;2;71;167.826637655893;299.246773861134;299.246773861134;6764.86327992525;7790.48359340665;6114.54191849461;3058.92409971797;7112.45047147255;5276.54562167565;11074.6671359979;4768.07639294133;6899.98816252229;4237.79250399633;4625.07860037671;2959.30302905862;1
1;0;0;0;14;860000;4;2;81;371.827602453921;307.678677172558;755.927946063795;6950.2878141707;8129.31367391065;6359.05892476957;3375.1448129324;7337.65182531542;5530.23143694912;11384.9385486735;4961.2463406119;7044.63154924451;4622.56206362185;4942.75632565107;3326.28057803939;1
0;0;1;0;12;1500000;5;3;119;166.854625874322;446.649641763959;381.747828475619;2279.69950367568;4710.90086936554;3293.0063612102;6374.4808179035;2274.23035872777;4074.28265989354;4817.83629479421;4267.74887971518;2191.11982683887;6726.29742164254;5263.4372632145;2494.48599013227;0
0;1;0;0;5;260000;1;0;20;225.347988598366;360.384529539404;393.855049279831;2325.50734489003;4800.01460024544;3357.63038137615;6425.74029671757;2345.28190487678;4132.89406577828;4891.86409920173;4308.02208128857;2209.09072309474;6794.67009737144;5327.80372260615;2416.42357063271;0
1;0;0;0;15;790000;3;2;67;377.948041337823;235.76832345108;399.664617961977;2746.32917630449;5213.3279819259;2560.8844712784;2226.69860746333;3311.40240902107;1988.76375648312;7870.02213997708;974.875382259369;2761.63778068325;3665.39624923949;2513.80381450903;2023.15128579063;1
1;0;0;0;9;1120000;4;2;90;95.671564339372;225.703134254001;482.67820213713;3369.99370880669;3177.42275757463;2184.42628850284;1590.21991515215;3210.7115949329;1511.97987591402;6471.94732969815;2141.50057980582;3943.93235181572;1272.41003611654;268.123697454796;1759.91175228658;0
1;0;0;0;9;895300;4;3;87;22.5473807791453;366.576875519351;366.576875519351;3792.23495588201;4751.38610312092;4453.56490095238;7657.57831765773;3409.18234126904;5301.06195607707;3535.68222372053;5754.48731224171;3927.12565520723;7648.73789979221;6326.63907183566;4049.12655604684;1
1;0;0;0;11;860000;3;2;71;382.92047274815;607.373555942766;607.373555942766;3900.9471437194;5085.81803279754;4645.03450322966;7843.48718697626;3589.75593632075;5487.41639184547;3874.43354726436;5885.17552271359;3967.60439169841;7899.13820852033;6549.00525004323;3844.75043652724;1
